idx,car_position_x,car_position_y,cte,etheta,cmd_vel.linear.x,cmd_vel.angular.z
348,-7.02061,10.04,-10.1332,1.52139,0.5,7.5862e-05
349,-7.07061,10.04,-10.3059,1.52293,0.5,7.62005e-05
350,-7.12061,10.04,-11.8186,1.5287,0.5,7.6513e-05
351,-7.17061,10.04,-12.0495,1.53012,0.5,7.37978e-05
352,-7.22061,10.04,-12.289,1.53151,0.5,7.39385e-05
353,-7.27061,10.04,-12.5383,1.53289,0.5,7.48281e-05
354,-7.32061,10.04,-14.5358,1.53783,0.5,7.58328e-05
355,-7.37061,10.04,-14.8767,1.53908,0.5,7.3589e-05
356,-7.42061,10.04,-15.2337,1.54032,0.5,7.42078e-05
357,-7.47061,10.04,-15.6088,1.54153,0.5,7.53534e-05
358,-7.52061,10.04,-18.3444,1.5457,0.5,7.64607e-05
359,-7.57061,10.04,-18.8725,1.5468,0.5,7.37535e-05
360,-7.62061,10.04,-19.4317,1.54787,0.5,7.37562e-05
361,-7.67061,10.04,-20.0262,1.54893,0.5,7.42359e-05
362,-7.72061,10.04,-23.9514,1.55238,0.5,7.46157e-05
363,-7.77061,10.04,-24.8149,1.55333,0.5,7.14771e-05
364,-7.82061,10.04,-25.7401,1.55425,0.5,7.15065e-05
365,-7.87061,10.04,-26.7366,1.55515,0.5,7.23654e-05
366,-7.92061,10.04,-32.7185,1.55792,0.5,7.33892e-05
367,-7.97061,10.04,-34.2309,1.55872,0.5,7.09728e-05
368,-8.02061,10.04,-35.8803,1.55948,0.5,7.17192e-05
369,-8.07061,10.04,-37.6918,1.56023,0.5,7.30974e-05
370,-8.12061,10.04,-47.6081,1.56238,0.5,7.43196e-05
371,-8.17061,10.04,-50.5403,1.56302,0.5,7.17008e-05
372,-8.22061,10.04,-53.8181,1.56364,0.5,7.1985e-05
