idx,car_position_x,car_position_y,cte,etheta,cmd_vel.linear.x,cmd_vel.angular.z
144,-1.27169e-05,6.33538,-1.27169e-05,-9.65964e-06,0.500002,-9.31297e-05
145,-1.31947e-05,6.38538,-1.31947e-05,-9.11497e-06,0.500002,-9.08144e-05
146,-1.36218e-05,6.43538,-1.36218e-05,-7.55589e-06,0.500002,-9.17368e-05
147,-1.39613e-05,6.48538,-1.39613e-05,-5.92622e-06,0.500002,-8.30107e-05
148,-1.42094e-05,6.53538,-1.42094e-05,-3.8779e-06,0.500002,-7.96661e-05
149,-1.43617e-05,6.58538,-1.43617e-05,-2.60999e-06,0.500002,-6.91568e-05
150,-1.44622e-05,6.63538,-1.44622e-05,-1.62014e-06,0.500002,-6.82989e-05
151,-1.45265e-05,6.68538,-1.45265e-05,-1.74024e-06,0.500002,-6.2582e-05
152,-1.46219e-05,6.73538,-1.46219e-05,-2.0635e-06,0.500002,-6.76892e-05
153,-1.47413e-05,6.78538,-1.47413e-05,-2.49033e-06,0.500002,-6.71809e-05
154,-1.48704e-05,6.83538,-1.48704e-05,-2.95229e-06,0.500002,-7.13256e-05
155,-1.50306e-05,6.88538,-1.50306e-05,-3.52571e-06,0.500002,-7.26644e-05
156,-1.52162e-05,6.93538,-1.52162e-05,-4.17594e-06,0.500002,-7.68761e-05
157,-1.54394e-05,6.98538,-1.54394e-05,-4.94691e-06,0.500002,-7.98737e-05
158,-1.57068e-05,7.03538,-1.57068e-05,-5.21932e-06,0.500002,-8.47863e-05
159,-1.5969e-05,7.08538,-1.5969e-05,-4.92192e-06,0.500002,-8.52037e-05
160,-1.62006e-05,7.13538,-1.62006e-05,-3.82461e-06,0.500002,-8.45885e-05
161,-1.63607e-05,7.18538,-1.63607e-05,-2.4322e-06,0.500002,-7.88319e-05
162,-1.64419e-05,7.23538,-1.64419e-05,-9.6823e-07,0.500002,-7.39649e-05
163,-1.64577e-05,7.28538,-1.64577e-05,-8.57425e-08,0.500002,-6.74689e-05
164,-1.64416e-05,7.33538,-1.64416e-05,1.54305e-07,0.500002,-6.57177e-05
165,-1.64417e-05,7.38538,-1.64417e-05,1.57489e-07,0.500002,-6.50945e-05
166,-1.64334e-05,7.43538,-1.64334e-05,1.89305e-07,0.500002,-6.54907e-05
167,-1.64223e-05,7.48538,-1.64223e-05,2.31326e-07,0.500002,-6.49454e-05
168,-1.64081e-05,7.53538,-1.64081e-05,2.84513e-07,0.500002,-6.49406e-05
169,-1.63923e-05,7.58538,-1.63923e-05,3.43399e-07,0.500002,-6.44745e-05
170,-1.63732e-05,7.63538,-1.63732e-05,4.14261e-07,0.500002,-6.42666e-05
171,-1.63515e-05,7.68538,-1.63515e-05,4.94943e-07,0.500002,-6.37793e-05
172,-1.63253e-05,7.73538,-1.63253e-05,5.91904e-07,0.500002,-6.33921e-05
173,-1.62943e-05,7.78538,-1.62943e-05,7.07135e-07,0.500002,-6.2794e-05
174,-1.62568e-05,7.83538,-1.62568e-05,8.46907e-07,0.500002,-6.21761e-05
175,-1.62114e-05,7.88538,-1.62114e-05,1.01647e-06,0.500002,-6.13552e-05
176,-1.61561e-05,7.93538,-1.61561e-05,1.22318e-06,0.500002,-6.04078e-05
177,-1.60893e-05,7.98538,-1.60893e-05,1.4734e-06,0.500002,-5.92176e-05
178,-1.60086e-05,8.03538,-1.60086e-05,1.77537e-06,0.500002,-5.78064e-05
179,-1.59116e-05,8.08538,-1.59116e-05,2.13823e-06,0.500002,-5.60864e-05
180,-1.57954e-05,8.13538,-1.57954e-05,2.57282e-06,0.500002,-5.40354e-05
181,-1.56555e-05,8.18538,0.00173011,-0.00960491,0.500002,-5.15722e-05
182,-1.54878e-05,8.23538,0.0012327,-0.0102626,0.500002,-0.0605604
183,-1.52868e-05,8.28538,0.000706609,-0.0107517,0.500001,-0.0253948
184,0.00012758,8.33255,0.0041787,-0.0282778,0.500002,-0.053355
185,0.000492436,8.38256,0.00276865,-0.02738,0.489044,-0.140425
186,0.0010546,8.43258,0.00147618,-0.0231092,0.489379,-0.0766011
187,0.00201131,8.48154,0.00560494,-0.0416933,0.506691,-0.0882775
188,0.00342824,8.5305,0.00357114,-0.0354774,0.49202,-0.184256
189,0.00540473,8.58116,0.00192095,-0.0225173,0.494515,-0.0697718
190,0.00808619,8.63039,0.00432019,-0.0257612,0.499712,-0.0441829
191,0.0113476,8.68115,0.00304174,-0.023023,0.501547,-0.0480478
192,0.0146965,8.73103,0.00204038,-0.0147723,0.49789,-0.000974332
193,0.0182856,8.78108,0.00465358,-0.0347731,0.506292,0.0448414
194,0.0219641,8.83074,0.0030665,-0.0284236,0.496162,-0.0553486
195,0.0255904,8.88121,0.00160312,-0.0262664,0.501859,0.0857929
196,0.0293408,8.931,0.00408684,-0.0134084,0.499017,0.0460234
197,0.0331748,8.98099,0.00275809,-0.0167663,0.502492,0.255937
198,0.036669,9.03074,0.00153178,-0.00760676,0.496865,0.146181
199,0.0393513,9.08101,-0.00510796,-0.0501261,0.500348,0.329694
200,0.0408961,9.13052,-0.00937363,-0.131571,0.498639,-0.0454964
201,0.041252,9.18031,-0.0272607,-0.210546,0.498787,-0.216354
202,0.040824,9.23027,-0.0364315,-0.219702,0.496569,-0.615489
203,0.0410166,9.28023,-0.0312116,-0.0665615,0.499214,-0.266545
204,0.043231,9.3303,0.0353116,0.281153,0.49609,0.655145
205,0.0475988,9.38017,0.139657,0.615124,0.45609,1
206,0.0523336,9.42992,0.147761,0.588651,0.450347,1
207,0.0555644,9.47976,0.0512089,0.390892,0.449828,1
208,0.0555158,9.52834,-0.149161,-0.226942,0.447755,1
209,0.0515234,9.5727,-0.17456,-0.387254,0.432443,1
210,0.0433959,9.6163,-0.112508,-0.310178,0.494197,0.845959
211,0.0310356,9.66046,-0.0455725,-0.242333,0.430865,0.761392
212,0.0144852,9.70472,-0.0199325,-0.134795,0.487651,0.18802
213,-0.00389148,9.74451,-0.00405862,-0.0685252,0.460308,0.854098
214,-0.0245773,9.78318,-0.00343314,0.0672837,0.469276,0.356471
215,-0.0474537,9.82064,0.00174941,0.103248,0.434743,1
216,-0.0728415,9.85725,0.0065082,0.151522,0.46902,1
217,-0.100457,9.89236,-0.00912492,0.202064,0.441325,1
218,-0.131907,9.92597,-0.0104151,0.158517,0.461688,1
219,-0.164463,9.9546,-0.017035,0.0883268,0.461932,1
220,-0.202602,9.98204,-0.0324601,-0.00936089,0.482056,1
221,-0.244778,10.0064,-0.0418003,-0.0892271,0.479048,0.464943
222,-0.288614,10.026,-0.0538592,-0.182327,0.481102,0.284022
223,-0.333623,10.0415,-0.0454764,-0.20247,0.490633,-0.258337
224,-0.379731,10.0548,-0.0513911,-0.152091,0.485744,-0.147086
225,-0.426376,10.0676,-0.0563367,-0.0432121,0.488128,0.0258509
226,-0.473402,10.081,-0.0288398,0.0435566,0.491384,0.527254
227,-0.520049,10.0945,-0.0248667,0.114269,0.491011,0.694683
228,-0.566757,10.1071,-0.0170535,0.127119,0.492668,0.998754
229,-0.614011,10.1172,0.0188775,0.0585935,0.488605,0.86077
230,-0.661876,10.1233,0.0334091,-0.0336403,0.491857,0.532054
231,-0.708721,10.1246,0.0461338,-0.112001,0.487876,0.124101
232,-0.757197,10.1226,0.0578518,-0.148862,0.478182,-0.13321
233,-0.805592,10.1187,0.0531083,-0.14821,0.488164,-0.26588
234,-0.853416,10.1148,0.0452366,-0.111142,0.493642,-0.236486
235,-0.902281,10.1117,0.0547875,-0.0666976,0.487611,-0.0738062
236,-0.951516,10.1099,0.0517625,-0.030662,0.492425,0.0638082
237,-0.999953,10.1089,0.0505299,-0.0131152,0.496589,0.193185
238,-1.04923,10.108,0.0680039,-0.0222941,0.492602,0.208228
239,-1.09868,10.1064,0.0664632,-0.0416307,0.494905,0.160673
240,-1.14777,10.1038,0.0639553,-0.0631719,0.499842,0.0454423
241,-1.1975,10.1003,0.0604958,-0.0779817,0.495675,-0.0454997
242,-1.24715,10.0963,0.0565326,-0.0814767,0.498786,-0.111582
243,-1.29655,10.0924,0.0525914,-0.0765677,0.501698,-0.119044
244,-1.34651,10.0889,0.0489764,-0.065705,0.496802,-0.105784
245,-1.39665,10.0859,0.0459445,-0.0537537,0.499669,-0.0625005
246,-1.44616,10.0835,0.043549,-0.0417904,0.502795,-0.0280595
247,-1.49659,10.0815,0.0415752,-0.0360229,0.499113,0.0167809
248,-1.54685,10.0798,0.0398372,-0.0330932,0.5006,0.0146034
249,-1.59672,10.0781,0.0381444,-0.0347657,0.504371,0.0244582
250,-1.64673,10.0763,0.0363695,-0.0362088,0.499525,-0.0051076
251,-1.69712,10.0745,0.0344853,-0.0386115,0.500604,-0.00736882
252,-1.74704,10.0725,0.0325674,-0.0381014,0.502224,-0.035359
253,-1.79707,10.0707,0.0306767,-0.0373586,0.501627,-0.0260832
254,-1.84728,10.0689,0.0288836,-0.0338556,0.499484,-0.0395679
255,-1.89743,10.0672,0.0272474,-0.0312595,0.502097,-0.018015
256,-1.94738,10.0658,0.0257805,-0.027338,0.501289,-0.0251527
257,-1.99758,10.0644,0.0244517,-0.025539,0.500544,-0.00266249
258,-2.04771,10.0632,0.0232324,-0.0230443,0.500663,-0.013896
259,-2.09776,10.0621,0.0220858,-0.0227657,0.501788,0.00291069
260,-2.14782,10.061,0.0209797,-0.0213874,0.500263,-0.0140392
261,-2.19798,10.0599,0.0198996,-0.0216629,0.500706,-0.000416243
262,-2.24801,10.0588,0.0188499,-0.0202728,0.500922,-0.0187114
263,-2.29807,10.0578,0.0178361,-0.0202208,0.500845,-0.00374982
264,-2.34816,10.0569,0.0168689,-0.0183696,0.500139,-0.020172
265,-2.39824,10.056,0.0159584,-0.0179884,0.5009,-0.00264664
266,-2.44826,10.0551,0.0151081,-0.0159931,0.500553,-0.017809
267,-2.49834,10.0543,0.0143139,-0.0157213,0.500414,0.00068152
268,-2.5484,10.0536,0.0135708,-0.0139606,0.500368,-0.0151087
269,-2.59844,10.0529,0.0128708,-0.0140188,0.500688,0.00286561
270,-2.64848,10.0522,0.0122065,-0.0125262,0.500229,-0.014276
271,-2.69854,10.0516,0.0115726,-0.0128013,0.500368,0.00325886
272,-2.74857,10.051,0.0109674,-0.0113922,0.500387,-0.0146779
273,-2.7986,10.0504,0.0103896,-0.0117068,0.50036,0.00319641
274,-2.84865,10.0498,0.00983998,-0.0102586,0.500164,-0.0148667
275,-2.89868,10.0493,0.00931904,-0.0105676,0.500348,0.00374363
276,-2.9487,10.0488,0.00882718,-0.00910127,0.500255,-0.0143966
277,-2.99873,10.0484,0.0083628,-0.00946467,0.500192,0.004782
278,-3.04876,10.0479,0.00792488,-0.00804551,0.5002,-0.0137421
279,-3.09878,10.0475,0.00751086,-0.00851207,0.500243,0.00572341
280,-3.1488,10.0471,0.00711903,-0.0071583,0.500154,-0.0133825
281,-3.19882,10.0467,0.00674698,-0.00771837,0.500143,0.00632386
282,-3.24885,10.0464,0.00639399,-0.00640077,0.500191,-0.0133212
283,-3.29886,10.0461,0.0060584,-0.0070205,0.500124,0.0067521
284,-3.34888,10.0457,0.00574015,-0.00570944,0.500128,-0.0133137
285,-3.39889,10.0454,0.00543806,-0.00637169,0.500109,0.00722895
286,-3.44891,10.0452,0.00515229,-0.00506178,0.500147,-0.0132268
287,-3.49891,10.0449,0.0048814,-0.00577133,0.500056,0.00778714
288,-3.54894,10.0446,0.00462543,-0.00447042,0.500131,-0.0131079
289,-3.59894,10.0444,0.00438274,-0.00523556,0.500059,0.0083368
290,-3.64896,10.0442,0.00415328,-0.00394685,0.500116,-0.0130493
291,-3.69896,10.0439,0.00393557,-0.00476058,0.500025,0.00881656
292,-3.74898,10.0437,0.00372972,-0.00347812,0.500125,-0.0130261
293,-3.79897,10.0435,0.00353426,-0.00433762,0.500013,0.00925987
294,-3.84899,10.0433,0.00334951,-0.00305783,0.500108,-0.0130371
295,-3.89899,10.0432,0.00317395,-0.00396142,0.500003,0.00967591
296,-3.94901,10.043,0.00300804,-0.00268086,0.500112,-0.0130841
297,-3.999,10.0429,0.00285029,-0.00362567,0.499983,0.0100709
298,-4.04902,10.0427,0.00270129,-0.00234073,0.500107,-0.0131558
299,-4.09901,10.0426,0.00255956,-0.00332464,0.499979,0.010456
300,-4.14903,10.0424,0.00242579,-0.00203287,0.500103,-0.0132445
301,-4.19902,10.0423,0.00229849,-0.00305481,0.499966,0.0108349
302,-4.24904,10.0422,0.00217843,-0.00175459,0.500106,-0.0133497
303,-4.29903,10.0421,0.00206411,-0.0028139,0.499959,0.0112054
304,-4.34905,10.042,0.00195636,-0.00150359,0.500102,-0.0134739
305,-4.39904,10.0419,0.00185366,-0.00259959,0.499952,0.0115661
306,-4.44906,10.0418,0.00175693,-0.0012773,0.500103,-0.0136183
307,-4.49904,10.0417,0.00166464,-0.00240895,0.499944,0.0119183
308,-4.54906,10.0416,0.0015778,-0.00107262,0.500103,-0.0137799
309,-4.59905,10.0415,0.00149486,-0.00223901,0.49994,0.012266
310,-4.64907,10.0414,0.00141692,-0.000886909,0.500102,-0.0139552
311,-4.69906,10.0413,0.0013424,-0.00208758,0.499934,0.0126118
312,-4.74907,10.0413,0.00127247,-0.000718341,0.500104,-0.0141432
313,-4.79906,10.0412,0.00120551,-0.00195312,0.499929,0.0129557
314,-4.84908,10.0411,0.00114277,-0.000565528,0.500104,-0.0143451
315,-4.89906,10.0411,0.00108259,-0.00183426,0.499925,0.0132969
